flood,exposed_(mn),displaced_(k),killed,duration(days)
1997-05-01,300000.0,20000,100,300
2002-04-26,43575.0,168000,160,32
2005-04-23,131351.0,260000,177,52
2006-08-12,58116.0,1680,3,9
2007-05-15,47863.0,8500,5,30
2007-07-03,418485.0,200000,150,97
2007-07-29,271262.0,42000,17,68
2007-08-15,201141.0,520000,52,77
2007-11-21,52613.0,6000,0,25
2008-03-20,1087.0,10000,2,13
2008-10-14,697.0,10000,3,2
2008-11-16,78180.0,500,11,4
2011-08-20,74061.0,0,31,19
2011-11-09,211743.0,15000,0,41
2011-11-09,112.0,10000,4,6
2011-11-29,147084.0,98000,24,23
2011-12-20,8133.0,0,2,2
2012-04-09,74569.0,50,0,17
2012-08-15,83188.0,3000,0,23
2012-08-20,40136.0,15000,0,18
2012-09-07,176134.0,3000,15,26
2013-01-13,148039.0,400,20,4
2013-05-01,50155.0,50000,7,15
2013-10-08,102537.0,3300,0,6
2014-04-18,78166.0,0,0,11
2014-05-10,61286.0,22000,0,6
2014-09-21,83844.0,3000,7,20
2014-10-24,209997.0,21000,0,23
2015-12-01,71105.0,100000,112,36
2016-01-14,57424.0,400,1,15
2016-04-22,162245.0,14000,5,38
2017-05-08,15117.0,6000,13,7
2018-04-23,79781.0,360,18,2
2018-04-28,76263.0,2576,13,13
2020-04-15,0.25,10,0,5
2020-05-01,0.3,15,2,7
2021-03-15,0.5,25,3,10
2021-10-15,0.4,20,1,4
2022-04-25,0.6,30,5,6
2022-06-01,0.2,5,0,3
2023-03-15,0.7,35,4,8
2023-05-10,0.45,15,2,5
2023-10-20,0.35,10,0,7
2024-04-18,0.5,20,1,6
